country,year,party_id,party,vote,seat,epvote,family,eu_position,eu_intmark,eu_foreign,lrgen,lrecon,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,urban_rural,environment,regions,ethnic_minorities,nationalism,russian_interference,anti_islam_rhetoric
21,2024,2118,MOTO,0.0,0.0,5.0,1,1.5813954,3.5,1.1818181,8.4117651,7.4230771,7.3000002,6.5,7.3157897,8.1428576,8.0833335,3.3333333,9.454545,9.4615383,3.5555556,9.0,7.1666665,9.166667,9.0,9.0,6.8000002
22,2024,2201,Isaama,8.21,7.920792079207921,21.5,2,4.9473686,5.3333335,4.0,7.7894735,7.0,7.2222223,6.25,6.7647057,7.2142859,7.77083325,6.9000001,8.0,8.3684206,5.6999998,5.2222223,5.75,8.333333,7.4285712,0.0,3.8571429
22,2024,2202,EK,15.28,15.84158415841584,12.4,3,4.8000002,5.0,4.1666665,4.1666665,3.6666667,3.8888888,2.8571429,2.8125,5.0833335,5.54761885,4.1999998,5.1875,3.6666667,4.8000002,5.125,4.0,2.2,4.3333335,3.25,0.83333331
22,2024,2203,ER,31.24,36.63366336633663,17.9,3,6.5999999,6.8333335,5.7142859,6.6315789,7.3684211,5.4444447,7.25,6.9411764,3.2857144,3.35416665,4.2222223,4.1111112,5.5263157,1.6,4.5555553,7.1428571,5.5,4.2857141,0.0,1.0
22,2024,2204,SDE,9.27,8.91089108910891,19.299999,5,6.6999998,6.1666665,5.5714288,3.2105262,3.2631578,3.0,3.25,2.3125,3.0714285,2.10416665,3.2,3.0,3.2631578,4.1999998,3.6666667,4.0,2.6666667,2.8571429,0.0,1.1428572
22,2024,2209,EKRE,16.05,16.83168316831683,14.9,1,2.3499999,2.4000001,1.8571428,8.9473686,5.8421054,6.875,4.625,5.352941,8.4285717,9.3125,6.9000001,9.6111107,9.0526314,8.1999998,7.1111112,4.2857141,8.833333,8.4285717,4.75,5.7142859
22,2024,2210,E200,13.33,13.86138613861386,2.5999999,3,6.4000001,6.6666665,5.2857141,6.2631578,7.1052632,5.4444447,6.25,6.125,2.9230769,2.60416665,3.0,3.3529413,4.3888888,1.8888888,4.4444447,6.375,3.5999999,3.1428571,0.25,1.4285715
22,2024,2211,Parempoolsed,2.3,0.0,6.8400002,3,5.5333333,6.0,5.0,8.0,8.625,8.875,8.7142859,8.4615383,4.6666665,5.375,4.5,4.5384617,5.8333335,2.0,5.8000002,6.1666665,4.6666665,4.1999998,0.66666669,2.3333333
22,2024,2212,Vasakliit,2.4,0.0,,6,2.5,1.75,2.0,1.5555556,1.0909091,1.2,1.3333334,1.125,7.0,,1.3333334,4.5999999,2.0,3.6666667,5.0,5.0,0.0,4.0,7.0,0.0
23,2024,2301,MSZP,7.12,5.527638190954774,4.0100002,5,6.3888888,6.25,5.0,3.0,2.8235295,2.8888888,4.3333335,2.5294118,4.5999999,2.5555556,1.5454545,4.5999999,4.9166665,3.2727273,4.8571429,3.3333333,3.5999999,4.0,2.0,0.0
23,2024,2302,Fidesz-KDNP,34.33,67.8391959798995,44.82,1,2.8947368,5.0,1.5,8.6111107,3.7058823,6.8000002,3.2,5.4705882,9.5714283,8.7626264,8.818182,9.7777777,8.7333336,8.0,6.3333335,8.5,5.1999998,10.0,10.0,4.0
23,2024,2308,JOBBIK,6.47,5.025125628140704,0.99000001,1,4.4210525,5.0,3.6666667,6.4705882,4.7142859,3.7142856,4.4000001,4.5384617,7.7142859,6.5,6.3333335,7.4000001,7.5833335,6.1428571,5.0,4.5,4.75,6.1666665,3.0,1.0
23,2024,2309,LMP-MZP,7.12,5.527638190954774,0.87,7,5.1999998,5.5,4.0,3.7857144,3.6153846,2.5714285,4.75,3.25,2.8,1.72222225,1.4444444,4.4166665,4.3333335,3.0,1.6666666,1.8333334,2.5,3.2857144,2.0,0.0
23,2024,2311,DK,9.71,7.537688442211055,4.02,5,6.7777777,6.25,5.8888888,4.2777777,4.0,3.3333333,5.5,3.7647059,4.8571429,2.030303,1.3636364,4.4444447,4.6666665,2.4545455,4.2222223,3.0,4.5,2.4285715,3.5,0.0
23,2024,2314,Momentum,6.47,5.025125628140704,3.7,3,6.7777777,6.25,6.375,4.1666665,5.2222223,4.0999999,8.0,4.7058825,1.5714285,0.73232326,0.81818181,2.1111112,2.4375,1.3636364,2.4444444,1.1666666,2.5,1.4285715,1.5,0.0
23,2024,2315,MKKP,3.27,0.0,3.5899999,9,5.4705882,6.25,5.1428571,3.5,3.7142856,3.0,5.0,4.0666666,2.2857144,1.4040404,0.36363637,2.7647059,3.1333334,1.8,3.0,1.0,0.5,2.0,4.5,0.0
23,2024,2316,MHM,5.88,3.015075376884422,6.71,1,2.1111112,3.0,1.3333334,9.2941179,4.625,4.7142859,2.5,5.1333332,10.0,8.11111115,8.6000004,9.6470585,8.5,7.5999999,5.4444447,5.5999999,5.1666665,10.0,8.5,6.0
23,2024,2318,Tisza,0.0,0.0,29.6,4,5.4705882,6.3333335,4.5,6.1666665,5.4666667,3.4285715,6.4000001,4.75,5.2857141,3.875,4.8000002,6.6666665,5.3636365,4.5454545,4.3333335,3.0,4.0,6.0,4.0,0.0
24,2024,2402,LKS,3.67,0.0,,6,3.3181818,5.1999998,1.0,2.8666666,2.6111112,4.25,5.3333335,2.6153846,5.0,4.67499995,5.0,4.5,2.1818182,4.25,4.0,2.3333333,0.81818181,4.5555553,9.5714283,1.875
24,2024,2405,ZZS,12.58,16.0,2.3,7,5.3200002,5.0,5.0,5.7727275,5.4000001,4.6666665,4.125,5.2777777,6.0,5.27777765,4.5,6.9047618,7.2777777,6.3333335,4.25,3.8181818,4.5999999,7.0,2.4285715,2.9166667
24,2024,2406,,9.4,13.0,22.32,1,5.3809524,5.4000001,4.1666665,7.8421054,5.75,5.1111112,4.1999998,5.6875,7.7142859,6.22142865,6.0,9.1578951,9.1176472,6.125,4.75,6.75,8.1999998,8.75,0.5,6.6666665
