country,year,party_id,party,vote,seat,epvote,family,lrgen,lrecon,eu_position,eu_foreign,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,ethnic_minorities,regions,environment,nationalism,region,leftgen,rightgen,leftecon,rightecon
20,2010,2008,DSB,3.4,3.2,3.975,2,3.0833330154418945,3.1818180084228516,9.090909163157145,8.571428457895914,9.166666666666666,1.6999998092651367,8.222222328186035,2.3333334922790527,4.75,5.666666507720947,5.300000190734863,5.0,3.8571429000000004,5.300000190734863,6.7142856,4.0,,East,0.0,3.0833330154418945,0.0,3.1818180084228516
20,2010,2009,BNS,0.0,0.0,0.0,9,1.1428570747375488,0.625,8.333333333333334,6.9999996821085615,6.333333651224772,5.125,5.5,4.5,5.5,3.4000000953674316,4.199999809265137,5.333333492279053,3.6666665,4.599999904632568,5.3333335,4.5,,East,0.0,1.1428570747375488,0.0,0.625
20,2010,2010,GERB,39.72,48.3,24.36,2,1.0833334922790527,1.2727274894714364,9.545454184214273,8.75,8.75,4.181818008422852,6.222222328186035,4.0,8.833333015441895,3.0,4.909090995788574,6.44444465637207,3.0,4.363636493682861,5.375,3.25,,East,0.0,1.0833334922790527,0.0,1.2727274894714364
20,2010,2011,L,3.3,0.0,5.7,2,1.0,-0.5714287757873544,5.0,3.3333333333333335,3.3333333333333335,4.833333492279053,5.5,5.5,6.0,2.8000001907348633,4.5,5.0,5.0,4.666666507720947,8.0,2.0,,East,0.0,1.0,0.5714287757873544,0.0
20,2010,2012,RZS,4.1,4.2,4.67,2,1.5,-0.8333334922790527,5.370370546976726,4.00000015894572,5.0,6.599999904632568,4.25,5.833333492279053,7.900000095367432,2.0,6.599999904632568,8.333333015441895,2.75,3.1999998092651367,3.0,4.0,,East,0.0,1.5,0.8333334922790527,0.0
20,2014,2002,SDS,1.5,1.7,1.3,2,2.133333206176758,2.6875,9.411764939626059,9.0625,9.000000158945719,3.0,7.571428775787354,2.3529410362243652,4.5,6.25,4.3125,5.153846263885498,5.5714288,5.714285850524902,6.2222223,4.4000001,3.6470587,East,0.0,2.133333206176758,0.0,2.6875
20,2014,2003,BSP,14.6,15.4,18.9,5,-1.3125,-1.529411792755127,7.1568624178568525,4.215686321258545,6.25,7.0,3.666666746139526,6.823529481887817,5.625,4.230769157409668,3.266666650772095,6.199999809265137,4.6428571,5.066666603088379,4.3333335,3.3333335,5.1176472,East,1.3125,0.0,1.529411792755127,0.0
20,2014,2004,DPS,14.8,15.8,17.3,3,-0.3125,-0.6470589637756348,8.333333333333334,6.9607845942179365,7.083333333333333,5.5,4.466666698455811,5.764705657958984,4.75,3.7857141494750977,5.25,4.833333492279053,7.3846153999999995,8.799999952316284,6.1666667,2.75,4.2352943,East,0.3125,0.0,0.6470589637756348,0.0
20,2014,2005,VMRO-BND,3.1,3.3,5.4,2,1.07692289352417,-1.2666666507720952,3.8541666666666665,2.666666507720947,3.3333333333333335,6.230769157409668,3.0,7.428571462631226,8.785714149475098,0.7857141494750977,6.928571224212646,9.428571701049805,1.2307691999999992,1.0,4.4285712,2.4615383,9.0,East,0.0,1.07692289352417,1.2666666507720952,0.0
20,2014,2007,ATAKA,4.5,4.6,3.0,1,0.35714292526245117,-3.5625,0.8333333333333334,0.4166666666666667,1.25,7.928571462631226,0.8571428656578064,8.588235259056091,9.5625,0.35294151306152344,6.928571224212646,9.375,0.4285717000000009,0.1333332061767578,4.0,2.0,9.8235292,East,0.0,0.35714292526245117,3.5625,0.0
20,2014,2008,DSB,3.5,3.8,2.9,2,2.5625,3.0,9.3137256304423,9.215686321258545,9.0625,2.5333333015441886,7.933333396911621,2.117647171020508,4.705882549285889,6.0625,4.8125,5.153846263885498,5.6428571,5.533333301544189,6.2222223,4.4705882,3.4705882,East,0.0,2.5625,0.0,3.0
20,2014,2010,GERB,32.7,35.0,30.4,2,1.5,2.0,9.607842763264975,8.125,8.854166666666666,3.4285712242126456,7.0,3.117647171020508,5.941176414489746,4.533333301544189,5.285714149475098,6.266666889190674,4.7142859,5.266666889190674,5.5555553,3.4375,5.0588236,East,0.0,1.5,0.0,2.0
20,2014,2013,DBG,2.7,2.9,2.2,9,1.1333332061767578,1.5333333015441886,9.583333333333334,9.333333174387613,9.047618707021076,3.9285712242126456,7.071428775787354,3.4000000953674316,4.0,6.857142925262451,3.928571462631226,4.538461685180664,6.2307692,5.928571224212646,6.0999999,4.8000002,3.0,East,0.0,1.1333332061767578,0.0,1.5333333015441886
20,2014,2014,NFSB,4.2,4.6,3.1,2,1.8571429252624512,-0.7333331108093262,3.3333333333333335,3.2291666666666665,4.1111111640930185,5.916666507720947,3.076923131942749,7.0,8.5625,1.75,6.571428775787354,9.133333206176758,0.9285717000000009,1.0714282989501953,4.2857141,2.75,8.8125,East,0.0,1.8571429252624512,0.7333331108093262,0.0
20,2014,2015,BBT,5.7,6.3,5.4,9,1.0833334922790527,-1.099999904632568,5.8888888359069815,4.074074029922485,4.500000079472859,5.833333492279053,3.5,7.0,8.357142448425293,2.07692289352417,5.181818008422852,8.800000190734863,2.1999997999999996,1.545454978942871,5.4285712,2.5833335,8.0,East,0.0,1.0833334922790527,1.099999904632568,0.0
20,2014,2016,ABV,4.2,4.6,4.0,5,-1.533333301544189,-1.625,7.745098272959392,6.041666666666667,6.333333651224772,6.933333396911621,3.692307710647583,6.866666555404663,5.333333492279053,4.214285850524902,3.714285612106323,6.461538314819336,4.7692308,4.214285850524902,5.25,3.5,5.25,East,1.533333301544189,0.0,1.625,0.0
20,2019,2003,BSP,27.93,33.3,24.3,5,-1.75,-2.0,6.833333174387614,4.019607702891032,6.5833330154418945,6.849999904632568,3.0,7.0,6.222222328186035,2.526315689086914,4.117647171020508,7.190476417541504,2.9444447,4.75,4.1333332,3.6999997999999996,7.0999999,East,1.75,0.0,2.0,0.0
20,2019,2004,DPS,9.24,10.8,16.6,3,-0.28571414947509766,-0.047618865966796875,8.75,6.666666666666667,8.070175647735596,5.599999904632568,5.150000095367432,5.400000095367432,4.473684310913086,4.777777671813965,5.133333206176758,5.599999904632568,6.1176472,9.25,6.3333333,3.8499999000000003,5.1052632,East,0.28571414947509766,0.0,0.047618865966796875,0.0
20,2019,2005,BMRO,0.0,0.0,7.4,2,1.9000000953674316,-0.1904764175415039,4.736841917037963,2.4166667461395264,4.2222221692403155,6.071428537368774,3.0,5.1875,9.399999618530272,0.39999961853027166,7.625,9.523809432983398,0.4705887000000004,0.3809528350830078,3.2307692,3.0,9.5,East,0.0,1.9000000953674316,0.1904764175415039,0.0
20,2019,2007,Ataka,0.0,0.0,1.1,1,1.809523582458496,-1.473684310913086,2.00000007947286,0.9166665871938067,2.7777779102325435,6.076923131942749,2.25,6.8125,9.350000381469728,0.3000001907348633,7.625,9.7619047164917,0.3529415,0.3000001907348633,2.6153845999999996,2.3333335,9.5500002,East,0.0,1.809523582458496,1.473684310913086,0.0
20,2019,2008,DSB,2.54,0.0,6.1,2,2.4499998092651367,2.9499998092651367,9.70588207244873,7.962962786356608,9.298245906829834,3.3499999046325684,7.550000190734863,3.4000000953674316,4.0,5.368421077728271,3.9375,5.449999809265137,4.9473686,6.166666746139526,7.7692308,5.0999999,3.6842105,East,0.0,2.4499998092651367,0.0,2.9499998092651367
20,2019,2010,GERB,33.54,39.6,31.1,2,1.095238208770752,1.095238208770752,9.25000031789144,7.407407760620117,9.083333015441895,4.666666507720947,6.0,4.095238208770752,6.736842155456543,4.105263233184814,5.470588207244873,6.809523582458496,3.6666665,5.400000095367432,4.0666666,4.0476189,5.8499999,East,0.0,1.095238208770752,0.0,1.095238208770752
20,2019,2014,NFSB,9.31,11.3,1.2,2,2.3499999046325684,0.47368431091308594,4.912280639012655,2.84313718477885,5.8888888359069815,5.928571224212646,3.785714387893677,4.599999904632568,9.222222328186035,0.5555553436279297,7.199999809265137,9.526315689086914,0.8823527999999996,0.5555553436279297,3.75,2.5714287999999996,8.8421049,East,0.0,2.3499999046325684,0.0,0.47368431091308594
